############################################################### DATA TO FOLLOW ########################################
Result | Result per Trans | Trans Cnt | Signal Type | Strategy Type | Positive Trans Cnt | Positive Trans Pct | Eq in Str | JSON | Transaction Map
-10.061|-0.109400|92|False|SELL|48|0.521700|((TF_high(5) > TF_high(9))or((TF_close(2) < TF_avg_open(3,10))or(TF_close(3) < TF_max(10,2))))|{"name": "or", "children": [{"name": "(TF_high(5) > TF_high(9))"}, {"name": "or", "children": [{"name": "(TF_close(2) < TF_avg_open(3,10))"}, {"name": "(TF_close(3) < TF_max(10,2))"}]}]}|0000000010000010000000000000000001000000000000000001110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000110000000001000000010000000000010100000000000000000000000000000000000000010000000000000000000000011000000000000000000010000010000010000000000001000000000001000000000000010000100000000000000000101000000000000000000000000000000000000000001000000000100000000000000110000000000000000000000000000000100000000000000000000000000010000000000011000000000000000000000000000010000000000000000000000000000000000000000000000000111000000000000000000000100000000011000000000010000000000000011000000000000000000000000100000100000000000000000001000000000000000000000000000000000000010000000000000000000000000000000100001100000000000000000000000000000000000000000000000010000000000000100000000000010000000000000000001100000001000000000010000000010000100000001000001000000000000000000010000000000000000011000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000100000000110000000000000000000000000000000000000010000000000000000110000010000010000000000000000000000000000010000000000000000000000000100000011100010000001100000000000000000000000000000000000000000001000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000100000000111000000100000000000000000000000000000000000000000000000000000000100000000000000000000010000010
-8.185|-0.109100|75|True|SELL|43|0.573300|((TF_max(10,10) > TF_avg_open(3,3))and(TF_max(5,7) < TF_close(3)))|{"name": "and", "children": [{"name": "(TF_max(10,10) > TF_avg_open(3,3))"}, {"name": "(TF_max(5,7) < TF_close(3))"}]}|0000000000000110000000000000000011100000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000100010000000000000000000110000000000010000000000000000000000000100000000000000000000000000010000000000000000000010000000000000000000000000000000000000000000000011000000000000000000000000000000100000000000000000000000011000000000000000000000000100000000001100000000000000000000000000000010000000000000000000000000100000000000001000000000010000000000000010000000000000000000000000100010000000000000000000000000101000000000000000000000110000000000000000000000100000000100000000000110000000000000001000001111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000100000100000000000000000000000000000000010000000000000000000001110000000000000000000000000000000000000001000000000010000000000000000000000000001000000000000000000000000000000000000000000001010000000000000010000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000010000000000000000010000000000010000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000110000000000000000000000000000000000000000001000010000000000000000000110000000000000000000000000000000000000000000100000000000000000000000100000000000000000000000000000010000000000000000011000000000000000000000000000000000110
-9.898|-0.107600|92|True|SELL|53|0.576100|((TF_high(9) > TF_close(5))and(TF_open(1) > TF_max(5,9)))|{"name": "and", "children": [{"name": "(TF_high(9) > TF_close(5))"}, {"name": "(TF_open(1) > TF_max(5,9))"}]}|0000000000000010000000000000000001000000000000000001110000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000010000000000000000111000001000000000101000000000010000000000000010000000000000000000000000000000000000000000000100000000000000000000000000000010000000000000010001000000000000000000000000000000010000000001100000110000000000000000000000000000000000000000001100000000000000001010000000000000000000000000000000000000110000000000000000000000000100000000000111000000000000000000000000000100000000000000000000000000000000000000000000000000011000000000000000000000000000000011000000000000000000000000011100000000000000000000000000000110000000100000000010000000000000000000101000000000000000000000000000000000000000000000010000000110000000000000000000000000000000000000000000000000000000000000100000000000000000000000111000000000000001100000000000000000000000011000001000010000000000000000000000000000000000000011100000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111000001000000000000000000000000000000000000000010000000000000000000000000111000000000001000000000000000000000000000011000000000000001000000000100000011000000000001100000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000111000000110000000000000000000000000000000000000000001100000000000000000000000000000000000000001
-8.49|-0.107500|79|True|SELL|46|0.582300|((TF_high(5) < TF_high(9))and(TF_open(3) > TF_high(10)))|{"name": "and", "children": [{"name": "(TF_high(5) < TF_high(9))"}, {"name": "(TF_open(3) > TF_high(10))"}]}|0000000000000010000000000000000001000000000000000001010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000100000110000000001000000100000010000010100000000000000000000000100000000000000000000000000000000000000001000000000000000000000000010000000000000000000000000000001000000000000000000100000000000000000001000000000000000000000000010000000000000000000000000100000000000001000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000101000010000000000100001000100000011000000000010001000000000010000000000000000000000000000000100000000000000000001000000000000000000000000000000000000010000000000010000000000000000000100001000000000000000000010000000000000000000000000000110000000000000100000000000010000000000000000001100000000000000000010000000010000100000001000000010000000000000000010000000000000000011000000000000000000000000000000000000000000100010000000000000000000000000000000010000000000000000000000000000000000000000100000001000000000000000000000000000000000000000011000000000000000100000010000100000000000000000000000000000000000000000000000000000000100000000100010000001000000000000000000000000000000000000000000001000000000000000000000000000000000000000110000000000000000000000000000000000000000001010000100000000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000
7.738|0.103200|75|True|BUY|52|0.693300|((TF_open(8) < 104)or((TF_close(8) < TF_close(2))and(TF_close(6) > TF_high(2))))|{"name": "or", "children": [{"name": "(TF_open(8) < 104)"}, {"name": "and", "children": [{"name": "(TF_close(8) < TF_close(2))"}, {"name": "(TF_close(6) > TF_high(2))"}]}]}|0000000000000000000000000000000000000000001000000000000110000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000010000000011000000000000000000010000000000000000000000000100000000000000000000000000000000000000011000000000000000000000000000000001100000000000000000000010000000000000000000000000000000000000001000000000000000000000000100000000001000000000000001100000000000001000000000000000000000000000000000000000000000000000000000000110000000000001000000000010000000000000000000000000000000000000000000000000000000000000000000001000000000000000100000000000000001000000000000001000000000000100000000000000000000000100000000000000000000000000000001100000000000000100000000000000110000000000000000000000000000001000000100000000000000000110000000000000000000000000000100000000000000000000000000000000000000000000001100000000000000000000000000100000000000000000001000000000000000000010000000000001000000000000000000000000000000000000000000010000000000000000000000000000000000000000010000000000010000000000000000000000000001100000001110000000000000000000000100000000000000001000000000100000000000110000000000000000000000100000000000000000000000000000000000000000000001100010000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000010000001000000000000000000000000010000000000000000100000000010000000000001000000000000000000000000000000000000000000000000001100000000000000000000010000
-8.556|-0.103100|83|True|SELL|41|0.494000|((TF_max(7,5) < TF_low(2))and(TF_max(6,7) > TF_high(5)))|{"name": "and", "children": [{"name": "(TF_max(7,5) < TF_low(2))"}, {"name": "(TF_max(6,7) > TF_high(5))"}]}|0000000000000110000000000000000001100000000000000001100000110000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000100000000000000000110000100000000000000000000000000000000010000100000000000000000000000000000000000000000000010100000000000000000000000000000110010000000000010000000000000000000000000000000000000001000001100001100001000000000000000000000000000000000000001000000000000000000100000000000000000000000000000000000101100000000000000100000000000000010000000100000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000010000000000000000011000000001000000000000000000000000000001000000000000000000000000000100110000000000000000000000000000000000000000001000100000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000100000000000001000000000000000000000000000010000011001000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000010000000010000000000000001000000000000000000000000000000001100000000000000000000000000110000000010000000000000000000000000001000010000000000100010000000000010000010000000000001000000000000000010000000000000000000000000000000001000001100010000000000000000000000000000000000000000000000000000000000000000000000000000000010010001001100000000000000000000000000000000000000000001000000000000000000000000000000000000010100
-10.506|-0.103000|102|True|SELL|54|0.529400|(((TF_high(7) > 34)and(TF_max(9,1) > TF_max(5,1)))and(TF_max(3,6) > TF_max(6,5)))|{"name": "and", "children": [{"name": "and", "children": [{"name": "(TF_high(7) > 34)"}, {"name": "(TF_max(9,1) > TF_max(5,1))"}]}, {"name": "(TF_max(3,6) > TF_max(6,5))"}]}|0000000010000010000000000000000001000011000000000001100000000000000110000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000100000000000000110000000000000000110000000000010000000000000010000000000000000000000000011000000000000000000000100000010000000011000000000010000110000000000001000000000000000000000000110000100000000000000000100000000000000000000000000000000000000000000000000000000000000000011000000001000000000000000000000000100000000000000000000000000000000000000010000001000000000100000000000010000000000000000000000000000100000000000000000000110000010000000000000001100000000010000000000010000000000000011000000000000000000000000100000100000000100000000100000000000000000000000000001010000001100000000000010000000000000000010000001100000010000000000000000000000000000000000000000000000000000000100000000000000000000000000000001000000001000000000010000000000000100000001000001000000000000000000010000000000000000011000000000000000000000000100000000000000000000010000000000100000000000000100000010000000000000000000000000000000000000001100000001100000000000000000000000000000000000000011000000000000000110000000000110000000000000000000000000000011000000000000000000000000100000010000010000001100000000000000000000000000000000000000000000000000000000000000000000000001000000000110000000000000000000000000000000000000000001000000000000000110000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000010
8.442|0.103000|82|False|BUY|58|0.707300|((TF_max(10,2) > TF_avg_open(9,6))or(TF_max(8,10) > TF_low(5)))|{"name": "or", "children": [{"name": "(TF_max(10,2) > TF_avg_open(9,6))"}, {"name": "(TF_max(8,10) > TF_low(5))"}]}|0000000000000000000000000000001000000000000000001100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000001111000000000000000000000000000000000000000011111000001100000000000000000000000000000000000000000011000000000000001111100000000000000000000000000000000000001100000000000000000000000000000000111101100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011110000000000001001010000000100000000000000000000000000000010000000000000000000000000000000010000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000001100000000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011000001110000000110000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000000000011110000000100100110000000000000000010000000000011000000000000000000000000000000000000000000000000011000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011100000000000000000000000000000000000000000001100000000000000000000000000000000000000000000
-9.437|-0.100400|94|False|SELL|48|0.510600|((TF_open(4) > TF_max(10,8))or(TF_max(4,8) > TF_close(3)))|{"name": "or", "children": [{"name": "(TF_open(4) > TF_max(10,8))"}, {"name": "(TF_max(4,8) > TF_close(3))"}]}|0000000000000010000000000000000001100000000000000001100000010000000000000000000000000000001000000000000010000000000000000000000000000000000000000000000000000000010000000000000110000010000000000010000000001000000000000000100000000000000000000000000010000000000000000000010000000000000000000000000000010000000000000010001000000000000000000000000000000000000000000000001100000001000000000000000000000000100000000001100000000000000000100000000000000000000000000000000000000100000000000001000000000010000000000000110000000000000000000000000100010000000000000000000000000101000000000000000000000010000000000000000000000100000000110000000011010000000000000001000000111000000000000000000000100000010000000000000000000000000000000010000000000000000000000000000001000000000000001100000000100000000000000000000000000000000000000010000000000000000000000010000000000000000000000110000000000000001000000000010000000000000100000010000001000000000000000000000000000000000000001000001010000000000000010000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000010000000100000000000000000000000000000000100000000010000000000000000010000000000010000000000000000000000000000110000000000000110000000000100000010000000000011100000000000000010000000000000000000000000000000000000001000000010000000000000000000010000000000000000000000000000000000000000000100000000000000010000001100000000000000000000000000000000000000000000100001000000000000000000000000000000000010
-8.493|-0.099900|85|False|SELL|43|0.505900|(((TF_low(5) > TF_close(10))or(TF_max(7,7) > TF_low(1)))and(102 > TF_avg_open(2,7)))|{"name": "and", "children": [{"name": "or", "children": [{"name": "(TF_low(5) > TF_close(10))"}, {"name": "(TF_max(7,7) > TF_low(1))"}]}, {"name": "(102 > TF_avg_open(2,7))"}]}|0000000000000000000000000000000000000000000000000001110000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011100000000000000001110000000000000001100000000001110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000100100000000000000000000000000000000000000000010000010110000000000000000000000000000000000000000011100000000000000011100000000000000000000000000000000000000110000000000000000000000000000000000010110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000111100000000000000000000000000000000000001000000000000000000000000000001001000000000000000000000000000000000000000000001110000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000001100000000000000010000000000000000000000001001000010000100000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000001101000011000000000000000000000000000000000000000000000000000000000000000000111000000000000000000000000000000000000000111000000000000011000000001100000001000000000111100000000000001000000000000000000000000000000000100000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000110000000000000000000000000000000000000000011100000000000000000000000000000000000000000
